,ERR10082910,ERR10083185,ERR10082717,ERR10083228,ERR10083008,ERR10082679,ERR10083238,ERR10083036,ERR10083253,ERR10082874,ERR10083247,ERR10083101,ERR10083080,ERR10083202,ERR10083000,ERR10083215,ERR10083027,ERR10083186,ERR10082834,ERR10083108,ERR10083006,ERR10082766,ERR10083774,ERR10082806,ERR10082884,ERR10082990,ERR10082872,ERR10083218,ERR10083258,ERR10083252,ERR10083540,ERR10083542,ERR10083541,ERR10083471,ERR10083524,ERR10083523,ERR10083484,ERR10083459,ERR10083457,ERR10083439,ERR10083544,ERR10083494,ERR10083490,ERR10083473,ERR10083498,ERR10083519,ERR10083478,ERR10083419,ERR10083495,ERR10083511,ERR10083493,ERR10083564,ERR10083559,ERR10083500,ERR10083552,ERR10083455,ERR10083510,ERR10083491,ERR10083366,ERR10083530
ERR10082910,0.0,6183710.248971891,6686125.189170855,3072588.4185235417,5981360.526545779,2894226.657491082,5310644.320704033,6556266.507506235,5012036.166948718,7037325.433859443,1082214.810547333,10523038.316839486,9070275.899343526,8362137.577454284,10233815.41359199,4869157.229572485,8923649.69355308,3917733.6828758535,5604081.540657755,6187799.0896477075,4167329.2431150675,269345.73013879394,4017191.9823282035,12154121.47292547,4690115.152732713,4672644.847243154,8324651.519203672,7873315.984548379,6990331.25381523,1825392.2732826497,7700910.091250904,8124941.284260521,6044598.001062188,5893008.293931462,3650053.4166476247,4951687.516109736,5572277.045847685,9161745.809690695,7026503.728107529,5862491.4848611085,7388106.145252652,3561183.007959574,8032354.7724136915,5821605.298758239,4025868.182291243,5483638.654271906,7312274.528856873,8189000.9826418385,5180991.327463307,5956536.9037044505,4778328.494679494,7957190.744066023,6119628.508879032,8748426.698214142,8158997.748378718,7172252.899008233,6610745.484627888,8299141.287091816,6151966.324655313,5625973.731791591
ERR10083185,6183710.248971891,0.0,524290.4536657138,3157672.0035090726,902895.6920132026,3660685.402560018,1192807.8765509557,434290.84560464777,1178243.6373288846,1216971.0904639435,5429851.696942008,4340678.142397568,2894656.0203637322,2178702.22832332,4050245.872436512,1347310.2371918652,2750469.9990892466,2323414.623389463,680914.4126312792,68662.37293452652,2308780.986786317,5933658.774386003,2186530.817963927,5982767.989305619,1796648.9080198724,2273857.809286236,2169675.9834823264,1698682.1400453353,935028.0627328786,4445736.315478011,1851047.1686464394,1942952.9887274678,1645401.8038840848,791305.8320554702,3174050.8614552794,1523680.0450202792,1083814.324875345,2980511.0588120623,894861.1659386052,322863.4334219346,1620203.2675858915,3067965.2325937464,2096658.288088214,622816.6966564079,2378565.235532757,851131.853807035,1670117.3809229697,2115438.102932109,1804212.817261312,1156529.004836887,1610151.4006931148,2021261.068276436,353834.01687373134,2708728.8183784657,1975962.6236740917,1389462.5042065727,1340129.0935697202,2117648.0046693315,906862.5234824736,1364301.3815330542
ERR10082717,6686125.189170855,524290.4536657138,0.0,3642224.8287578295,1042293.7730587284,4103845.1580469017,1546324.4547484205,151363.07432461856,1674098.8098332188,821229.2331925356,5909270.35124346,3849259.5450487616,2384545.367651662,1681707.9548613664,3555002.5782395713,1869476.6882528919,2278471.699706845,2799281.9484262387,1105994.053181119,504494.08134684793,2727743.5894242334,6438454.9094481515,2675417.010076186,5501878.257122471,2192960.8815412098,2595646.692121445,1649749.3318152912,1238113.7492686203,718520.966392074,4931330.554873097,1380421.5377315003,1461556.3228264588,1684785.4711416524,1006207.021641173,3568426.7105047847,1909410.6566645112,1364755.7094930946,2494792.171871637,373200.962520195,831224.6067628171,1192138.5923360588,3485266.303115588,1596473.2326556558,944994.3038944732,2814886.126409024,1255883.8777092411,1281205.1062292876,1593004.3077029013,2071717.1106656913,1264377.0229840465,2027266.5848617444,1522795.715578751,605143.4591516296,2187078.8652119976,1477627.197506191,982904.972255711,1169021.9094272784,1614662.0633225394,956344.8256701137,1565903.0125911376
ERR10083228,3072588.4185235417,3157672.0035090726,3642224.8287578295,0.0,2910138.7689746,787655.8590990104,2239228.185171176,3506467.777805038,1980042.970789523,3964893.4036276434,2272861.85383472,7491255.446826053,6018660.801178365,5323903.142203096,7197199.958520119,1923416.0395008149,5907966.505714551,847890.4359202314,2545080.1390109505,3153846.173715199,1149468.8990020566,2838684.5738871726,971626.2930432667,9139479.198039733,1634379.4580702488,1759443.4458058036,5265718.42678708,4856345.720785949,4021292.736393236,1289155.4627293793,4630592.348730451,5097474.226987518,3036852.767371181,2820432.911866545,1101959.6048639896,1884991.0966887882,2502485.5436949083,6134315.243572342,3970640.859999554,2834898.303186906,4319019.852391165,866910.6181268055,4960440.586557811,2754094.6791352327,990867.3515713392,2416875.0124013447,4249000.056435867,5118522.7931539,2182833.132253815,2896555.7462479468,1707579.2224997936,4885116.695251507,3061033.2343014507,5675908.780016906,5119844.637071129,4101053.87699223,3554257.081026779,5256217.375638968,3081010.123318974,2579142.838318576
ERR10083008,5981360.526545779,902895.6920132026,1042293.7730587284,2910138.7689746,0.0,3240323.410995267,670910.8176277977,895803.4932461472,1178491.3980483692,1059447.1538689411,5117987.030120338,4711628.169582145,3204646.67183451,2578140.916248955,4409176.349569724,1543472.1087036203,3213771.951344712,2072895.4608247855,615874.9552051942,838774.4006972315,1854481.2307365097,5748818.997655779,2008443.896023486,6379349.41149362,1309267.0429461668,1594830.63550836,2438688.139088719,2221786.734816148,1724754.4984310085,4173907.7348317127,1720635.8140669977,2404268.843743769,748793.5013293051,161730.15735168254,2628074.7894413127,1034008.0793615687,411544.8012027366,3395779.92283437,1226931.79037182,833361.8999792347,1410610.6808754853,2583375.7387766885,2051214.800102856,390152.8578006318,1974754.514296144,610233.9163345479,1355081.8662195285,2235307.7023356315,1045696.1223845099,253747.16109741997,1203032.2139801576,1976333.610368958,551283.6411367564,2773577.7431170014,2379883.858859713,1190959.9328289763,715699.8371775699,2495297.560093385,171156.88663036612,525215.6421632927
ERR10082679,2894226.657491082,3660685.402560018,4103845.1580469017,787655.8590990104,3240323.410995267,0.0,2592395.3216178278,3958752.948630667,2518242.9315000568,4293689.599526379,1915802.92473417,7930882.347677842,6432962.307404576,5770659.357301989,7631083.735067058,2556341.2252768604,6381637.287562025,1384184.537489131,3000534.6099422015,3644631.6501178825,1388855.8346531147,2704300.891339571,1569015.2478704597,9593902.676955191,1935622.9889275958,1794190.7475405172,5668826.435572005,5340081.434812114,4569013.053814795,1103880.1489310332,4925401.960365266,5563755.486586825,3185600.4689365868,3184206.1557733663,759576.6686286513,2218726.7621618034,2831415.3866794254,6590111.024513093,4399417.140715006,3344932.774576643,4608645.334100249,679864.9485890561,5267814.068952035,3170163.2775505427,1289082.0162848444,2848139.5653929953,4511273.047118408,5475151.581847301,2330578.680680401,3167071.8721438893,2079660.8817751994,5195575.201328338,3501759.824631181,6001561.674236632,5567314.26790378,4409646.242523316,3801498.498742305,5695394.639882648,3404551.9753214223,2816854.325385855
ERR10083238,5310644.320704033,1192807.8765509557,1546324.4547484205,2239228.185171176,670910.8176277977,2592395.3216178278,0.0,1396071.5810480493,685281.8687635037,1727842.6935566212,4454699.651317696,5339969.3549579475,3840567.8661742196,3185185.107004772,5039545.818089662,1087539.6198336869,3806593.5614346853,1403419.7486404416,531417.5244729891,1153844.887083615,1203696.8262050042,5077908.268246877,1348667.0444687228,7004745.261967633,657805.1083603714,1081331.0340399928,3076588.7026214604,2780605.759279262,2124430.2279463075,3505171.853674795,2391471.642727967,2989100.0643319055,1027625.4707377587,592961.7019951626,2023135.4703748832,373670.4717327822,267972.3196320844,4005534.2620310965,1813839.8716934745,940240.8183125214,2080713.7637286873,1951128.6480706495,2721727.444481721,602608.3161490555,1313359.1316502125,361325.86428458174,2018181.0540734446,2895159.056188278,661949.3979119553,694067.4232126155,532495.1580925408,2646649.7936674585,944012.8974590336,3441477.5384029457,2982916.3486743974,1861844.6357916119,1343330.6181048655,3107568.806013151,841832.7037440396,493835.9855306213
ERR10083036,6556266.507506235,434290.84560464777,151363.07432461856,3506467.777805038,895803.4932461472,3958752.948630667,1396071.5810480493,0.0,1545954.7615379954,813017.0518513126,5771002.685566521,3987148.521674105,2514460.305096901,1819698.4896199151,3691607.6000004387,1760204.831440364,2422884.5006186324,2661800.8622532226,964798.510853432,398850.87895227206,2580503.5723676104,6309899.144430123,2542103.584207772,5642511.102625497,2044242.73095956,2444302.483301934,1771408.9879200682,1386200.974184119,844156.030540563,4795228.18562704,1421805.5311588852,1605102.4081014271,1555798.0214079847,855433.1495032209,3418668.7066448834,1760320.1122276029,1213428.9230494713,2635504.3652168363,475691.525433237,717708.9297263898,1205544.2784369225,3337343.0977476677,1662387.8733271004,795587.8534480024,2669671.4599210517,1110716.5207076916,1274276.395900434,1690219.4274901114,1921346.5668166168,1122952.8896178147,1880754.7665152946,1587044.376143906,457423.9844181763,2281498.7864932125,1615559.4338572011,982587.5406761476,1079532.4435958376,1750095.5465802432,817962.6883672628,1417987.5251231936
ERR10083253,5012036.166948718,1178243.6373288846,1674098.8098332188,1980042.970789523,1178491.3980483692,2518242.9315000568,685281.8687635037,1545954.7615379954,0.0,2126608.888705443,4252753.491338288,5517109.949429864,4058480.7294821544,3352017.7852596487,5225243.267057047,402272.29685873224,3928671.367265529,1153076.9412116436,626023.6079581983,1177427.4772490235,1242365.8844317966,4764552.416805801,1008533.705981114,7160999.730756733,854179.3847225534,1462897.3902943432,3317114.718433778,2876762.4286139794,2055415.1454779154,3267597.249973442,2810073.191747859,3120393.1276211017,1702957.8699336634,1034075.9455305978,2122287.7758223554,698855.1518540877,887246.255447156,4157882.2943403535,2019214.2456700825,855382.5327518677,2520261.6422415352,1975213.398630639,3111861.816592922,876423.237905066,1270525.4327202584,569288.543778109,2497853.466810453,3210623.0279409946,1249025.2347378735,1304260.1171334651,642486.6276398288,3034836.646280653,1123722.0586697585,3790299.6098298086,3148432.3562282547,2285253.2652312303,1894078.860293309,3287594.5980722746,1333683.0964606998,1175997.2279665458
ERR10082874,7037325.433859443,1216971.0904639435,821229.2331925356,3964893.4036276434,1059447.1538689411,4293689.599526379,1727842.6935566212,813017.0518513126,2126608.888705443,0.0,6177038.711907916,3701959.1952144746,2192164.6383365006,1643034.9686558712,3397670.407715263,2423931.6307967515,2289651.8012669524,3122864.5898509594,1500736.6120788818,1163289.7320839723,2911426.7417129013,6802742.452787184,3044526.513601253,5368588.293419882,2367697.4607757637,2593111.513826006,1433858.795190447,1434186.2715261222,1425803.7331109075,5232780.10527148,683475.9200798519,1533658.6527972906,1336880.346717686,1145981.8473649572,3658487.3599959314,2093449.546403734,1470945.967804392,2432586.3522156826,604277.0337022581,1426950.366363876,408104.2552841124,3630123.424751423,997271.3640248575,1252535.4257700657,3033959.014917637,1582541.021939084,461964.9109900015,1185199.3658967253,2025229.8376789237,1139022.719353745,2260274.831278046,921256.6850585128,1041318.1864406287,1714152.652878092,1464340.3278923926,172667.57732996662,627190.7865370791,1550892.691627954,891207.1604469973,1498189.8173155496
