,ERR10082910,ERR10083185,ERR10082717,ERR10083228,ERR10083008,ERR10082679,ERR10083238,ERR10083036,ERR10083253,ERR10082874,ERR10083247,ERR10083101,ERR10083080,ERR10083202,ERR10083000,ERR10083215,ERR10083027,ERR10083186,ERR10082834,ERR10083108,ERR10083006,ERR10082766,ERR10083774,ERR10082806,ERR10082884,ERR10082990,ERR10082872,ERR10083218,ERR10083258,ERR10083252,ERR10083540,ERR10083542,ERR10083541,ERR10083471,ERR10083524,ERR10083523,ERR10083484,ERR10083459,ERR10083457,ERR10083439,ERR10083544,ERR10083494,ERR10083490,ERR10083473,ERR10083498,ERR10083519,ERR10083478,ERR10083419,ERR10083495,ERR10083511,ERR10083493,ERR10083564,ERR10083559,ERR10083500,ERR10083552,ERR10083455,ERR10083510,ERR10083491,ERR10083366,ERR10083530
ERR10082910,0.0,494945.4802975778,467156.0476189942,393285.8378991036,500260.2820942314,424912.4219271543,505825.61633827916,477384.5528166993,409326.0369167835,564709.3252240483,359480.4581169886,660571.9622577089,627110.5569945383,576985.5807392417,631742.9278409058,407079.77550229634,524303.0709303542,414893.707190167,478956.3801328885,432707.1232877961,471040.8377423342,385138.15832893003,361519.3818151386,751020.0805577704,457260.1544110311,502362.491118714,559133.6270561805,519863.1243413981,472654.5250486871,499590.35061438085,607853.8923688817,470911.0248497056,519998.4319360973,393261.47112957813,366338.4399158789,370227.0848898011,383624.130768647,503670.3397600458,410333.7340592411,379284.78701102687,528924.2741924406,330290.0126782522,615977.891646283,408424.72240303963,371067.72901722405,396498.7411985062,609743.4002840867,548058.6121337754,437579.20204004215,426978.4385961427,404981.6181754426,582797.3061485442,394614.0105850272,661144.3375118629,462241.56520806305,555176.9587708049,541799.2359786049,477976.4731961187,470218.82082813315,419424.7995314536
ERR10083185,494945.4802975778,0.0,285856.12289401813,176999.90124573515,351758.6248523268,192900.58197683076,341446.0622719202,180568.57822722092,147106.48230788473,339695.9747568405,262679.53295413026,270567.2176410143,328985.82505785866,227558.6886321856,298634.7396034159,134001.7193695663,281125.57418705255,150022.61579175323,182393.01278557794,212520.78980419773,159277.0244322765,563945.8231975834,215327.7721126562,434322.98015417054,197169.72715150772,308915.0906090539,331325.4168547895,162089.14113227944,124727.80037345322,553252.1098577031,264339.89705112623,277426.4264809681,353080.73240124556,303436.61129138654,305613.0043813581,278506.90278878185,315218.53603650915,298086.5107967819,227651.42401487412,266089.98101957917,362024.145781742,321519.9080896858,264191.5411439208,268385.90645374806,288287.8082455101,275512.0453646265,267913.64884417516,321226.5063673918,263403.7640334701,204575.0400537661,276840.93353946053,265800.68781513715,242029.6979277543,288213.16133896454,276056.8484841483,226124.395802399,255857.535218332,278320.55145102023,316142.24119532015,201550.85917703254
ERR10082717,467156.0476189942,285856.12289401813,0.0,320233.9270424044,106091.96699090842,316132.66151569976,164041.08029088323,272541.12018372567,261564.07832307555,184714.34936679932,374598.75183855055,322946.1089222163,341041.3891230799,312256.56329691457,321232.2240031345,304809.6945046204,286083.70319191547,309743.1921398758,319937.6382593958,297624.8831583139,312901.10664233833,464584.714135108,317502.03511631227,322457.27107013727,289635.9019717687,248757.1183303103,123226.61809041096,300510.42276267224,296881.43425280065,405017.49845407915,326174.9350655258,298488.4931383453,319552.23096545576,291287.24612656835,313880.8897161469,300108.48077486915,295914.57322849106,300741.90601411037,262084.48691977173,307096.76443264587,324218.35201450274,314530.16018181783,335409.530115052,296440.0914603151,328748.093757211,304599.27016819984,333374.8397059982,297964.40949046245,274146.8799694791,266830.0206442296,325731.29262169456,313920.92495881824,255605.13912087135,352515.5705085947,283013.0570291767,304662.9526066469,302622.1598693658,270790.0948594686,288210.8868207445,269046.76621174987
ERR10083228,393285.8378991036,176999.90124573515,320233.9270424044,0.0,362067.8290168846,89585.04301500335,359099.58427433466,227400.10169302917,125459.99118444095,366621.4990272665,122981.32015066354,391493.175763001,394917.1369236843,315105.22412203834,396276.3764129777,115866.9430036022,346924.51083917374,75085.42380515675,214844.4597563549,226136.78939084636,138483.19800250136,502795.59820567246,112689.27590503011,537598.5726980681,187692.04422670664,282213.82490055304,386133.94501778786,271532.8559751103,187393.5021952469,512734.7023237261,325807.5391147357,303508.2503376144,319010.8330762452,266323.69933785463,199344.89725097053,211628.46412994637,266904.2704791364,336307.53697471606,241900.83847105617,224957.35086455834,375940.4616398719,222526.83914755093,336151.3508242976,222177.7004921961,192258.97774616405,218150.3936508023,321216.2060699927,338790.80509364477,208088.31929255422,214671.96061432894,208501.68913944077,325033.98348788085,213390.72370185168,372012.7464187215,298315.9359538139,282765.0753682286,286040.50696535973,301450.68687432114,288040.5664016789,203205.45566002897
ERR10083008,500260.2820942314,351758.6248523268,106091.96699090842,362067.8290168846,0.0,341698.706648123,141325.38272016105,328223.59205425804,316007.19752720825,178366.147561694,403398.96517591615,371646.8544007873,376561.7599743766,358479.6183160209,370530.25499950745,367876.31021852983,353697.89220746,353493.6692403416,365469.0254166555,355458.1944322004,344146.267973372,466408.26425782806,361999.35343450546,334623.8464604697,322447.13213951833,244439.56163027295,137841.033832455,369046.6481855647,365593.0453441367,377557.6879630449,347157.38976003375,362848.87319102976,329069.3680867303,338207.9489219613,337589.35705528397,345275.94429818017,339217.82670579094,357077.1462289347,327408.172384258,363696.8812252863,349285.2550781381,345263.2276712943,358884.87500589935,341070.0186897113,363832.294744433,351247.91475110565,349934.1936493203,322681.10187459073,300749.5063054967,313983.2545901135,361002.10321963497,342205.33313933027,309716.4956456146,372525.4858516394,342258.60866748117,335154.88522323524,324687.47614282876,328304.0609100046,314950.03441815975,314974.8282625137
ERR10082679,424912.4219271543,192900.58197683076,316132.66151569976,89585.04301500335,341698.706648123,0.0,331905.6797435079,227168.02624489213,145454.95029733432,356406.8795309653,115109.88861952738,384337.9982242193,396808.11244731373,308710.51402406103,396562.14355760184,171009.00017542936,365488.5025537739,103935.58508037562,196728.90935498016,237876.72955545693,97996.3335181475,495172.03708913125,155121.4419865932,532407.8021507574,155909.95551920345,272888.41176019184,379574.78325752885,276315.34210390854,228938.94306342903,488308.32890193467,298512.78811133036,337771.96993978054,322815.8713818142,298835.7471739283,216369.04151472318,245133.24324538276,295018.5302790318,371948.7704052804,270637.30267093633,282425.1901973335,377284.9051313874,250364.4685633327,308173.853954225,270276.9767701274,243945.01514890604,266980.7162362106,291655.2080865349,352544.3367549676,212751.5967178625,209756.79391619237,255273.58671825018,308486.75485018804,252921.80440997964,343820.2558023596,335016.61105981,257899.86401314754,264305.5140079374,334745.3963641621,303243.35067565786,196037.32493583972
ERR10083238,505825.61633827916,341446.0622719202,164041.08029088323,359099.58427433466,141325.38272016105,331905.6797435079,0.0,351426.42982564645,329921.19899454777,290477.0647348943,383663.9303609345,410121.8275403054,445769.1647254215,388095.7582981293,427038.4609739502,364440.3236896269,419414.00761896354,349286.16441536875,350528.93970969075,369942.2215995357,331288.3796498151,391156.9514977332,373641.1828265187,376116.09273334744,330956.0863740082,330319.4825998006,227941.71865852026,370150.8594235599,375686.6882030823,289250.2969765113,380510.8755843911,429703.9940901178,422614.6523441893,408455.9153507267,389646.305867257,396208.7937489525,409105.2368547731,421977.8324106611,374839.32434444496,407840.73378464783,434788.6023368138,401554.648720445,384352.89691245987,392257.5172791466,407296.8709970652,402596.8815353641,380779.52681308903,405870.9832101822,363582.8674786533,338942.03655787517,398248.5672215281,386264.496142216,364265.1233181678,398090.6881402779,410390.25581024704,357992.1517826892,364388.579221413,399511.77738710033,404077.2202054949,334655.48370226956
ERR10083036,477384.5528166993,180568.57822722092,272541.12018372567,227400.10169302917,328223.59205425804,227168.02624489213,351426.42982564645,0.0,154945.0787666391,306675.37225704966,293765.24587159726,221971.4691643951,223013.26869493662,124184.04146668766,205477.25028090092,196603.01371799977,188395.30281564879,185901.09193869733,116053.44949634199,86063.41459644743,182316.51969857258,576409.1659758717,201352.8638236864,435777.4725579559,121312.74108682896,274119.6395207757,309299.7209358586,112584.29301638839,170157.26594242163,565248.8928365981,184723.36321645943,211980.41233802712,276265.1244149359,249190.98264784782,257550.70375364926,233789.1770677163,244533.52403300453,262698.767210659,160550.30861072798,260731.6758585347,242510.9835203346,278125.99052048335,187082.59765408433,256726.64333099517,287405.60824034037,257650.39707324342,193675.52941453393,253307.28473141076,200667.2652776232,109151.55854132363,276270.6440612176,167163.94607689782,202620.68943718457,227617.04643545483,223908.21812966134,141071.19492653347,159993.33196417906,233436.07028263647,236976.73535391613,115091.10042049298
ERR10083253,409326.0369167835,147106.48230788473,261564.07832307555,125459.99118444095,316007.19752720825,145454.95029733432,329921.19899454777,154945.0787666391,0.0,313046.22018641274,200433.65450941617,308355.86006917397,329282.6591729361,239677.84812326732,311768.7659516264,116286.28339146453,254525.5223725118,120978.83890995152,179014.44029463097,154824.63989300927,152991.0494473451,511812.8420614317,110689.61250270957,469495.37064703845,159629.9425609118,266636.07436541666,322526.3964778697,190555.3427065219,131087.98238206276,510475.34368174925,278336.28392647626,214345.8503143926,266024.21177404135,195336.42614986075,180003.47143874754,157197.0666074911,198405.66512073186,266263.3857179766,150627.97021469817,204849.7551670492,310868.9653310539,199234.45199814212,287168.69281486794,201809.04332065993,214211.16368667624,193012.27169276052,282702.63671568397,281501.96216367657,154978.60178747258,158118.1218203657,226019.66883879818,269345.01963838126,160536.35808127702,322603.41072282544,226214.39680975213,234678.8441935063,245135.68458100915,226733.03715824036,225477.2031824947,161180.82680021218
ERR10082874,564709.3252240483,339695.9747568405,184714.34936679932,366621.4990272665,178366.147561694,356406.8795309653,290477.0647348943,306675.37225704966,313046.22018641274,0.0,438515.03544006334,297688.75162827363,273725.38460471656,310037.9393622658,286088.8017591741,369574.2937326675,282586.328774058,356268.04815896694,379120.86646741035,354742.9567574246,350064.2845849888,617151.5482926378,367488.48854760063,297239.5833364056,320983.34312079183,156876.5475907728,122230.42006800107,357905.3631995475,341351.1456872527,543058.1439477729,289117.54332623957,297119.3082854091,230404.87239856712,295633.0028937906,320344.86567916145,322655.54743875086,303596.5538852508,288652.2388290103,299563.27264870104,332433.15137482906,264975.8445462529,331077.08773939643,309653.38516799716,300925.1241770949,335658.6114268484,313051.4169701201,294689.109966758,219918.73006408528,253827.93989827044,305489.86305767985,335537.4532939654,277940.7741282304,274362.4085274803,315339.378218135,274897.8486001664,298869.2574571697,275060.4024646223,256652.33740996788,230690.40013836726,311961.9876443282
