,ERR10082910,ERR10083185,ERR10082717,ERR10083228,ERR10083008,ERR10082679,ERR10083238,ERR10083036,ERR10083253,ERR10082874,ERR10083247,ERR10083101,ERR10083080,ERR10083202,ERR10083000,ERR10083215,ERR10083027,ERR10083186,ERR10082834,ERR10083108,ERR10083006,ERR10082766,ERR10083774,ERR10082806,ERR10082884,ERR10082990,ERR10082872,ERR10083218,ERR10083258,ERR10083252,ERR10083540,ERR10083542,ERR10083541,ERR10083471,ERR10083524,ERR10083523,ERR10083484,ERR10083459,ERR10083457,ERR10083439,ERR10083544,ERR10083494,ERR10083490,ERR10083473,ERR10083498,ERR10083519,ERR10083478,ERR10083419,ERR10083495,ERR10083511,ERR10083493,ERR10083564,ERR10083559,ERR10083500,ERR10083552,ERR10083455,ERR10083510,ERR10083491,ERR10083366,ERR10083530
ERR10082910,0.0,1401327.7889048657,1213381.9992817596,1041040.2807667914,1164366.5100349633,1057218.5331921685,1258003.3349284094,1279692.8359121967,1104577.2250014935,1281090.392183159,926904.2802209946,1822257.678082603,1589431.1962607882,1541014.5118327083,1712489.3429399787,1162466.5761689667,1479264.1124366533,1096612.5895953411,1283741.1332071587,1188324.041866948,1203952.916679884,1034030.3809869417,952871.5299902711,2016701.164088522,1126266.6227994151,1032316.3909185013,1401747.9581533193,1497180.5774665258,1374477.6207356015,1304482.0430584701,1484776.8026865183,1340035.8058578137,1144247.3936426512,1036982.8311519916,836283.5438970445,967584.4217638066,988320.8739832423,1425966.5251207687,1158199.0825393535,1058651.1106856687,1236675.339653864,779229.5615644981,1533411.3686222625,1083639.2880220797,936388.9953219228,1052275.450478153,1466154.6788112093,1340682.9306804796,1027801.7476006742,1103105.6391134986,1047806.5945187594,1439375.2413370183,1055557.8121817866,1654304.1038333913,1289283.2922973135,1390402.3686116908,1280169.575360624,1324386.0676460622,1106679.5422293665,1074059.8922704451
ERR10083185,1401327.7889048657,0.0,787377.3821567394,537687.0802743916,926723.8008069071,581821.8032215706,949016.1787114064,475566.05603428005,410135.1824813375,757016.6526510497,824364.1213074474,714685.8708495642,783763.6203830846,566609.71376954,779086.8033396535,360371.27119541593,789097.0645668377,451126.5529804248,485237.2056437964,597798.8854807275,435217.3431597137,1614090.5988013807,633092.5211096716,1134941.9938397733,511280.34877843683,693740.5629080659,842345.8737525815,458238.96416826017,348066.06110909465,1612125.890754503,524590.965096617,774835.3659416947,846343.0004076362,838544.3930568018,868133.707348125,773933.3305220805,878944.1443789246,829479.7068030055,632343.8548495589,737165.922780618,896917.085292169,918842.5374377266,547008.7874312442,742755.8063172579,819138.1316340974,761152.3082603114,514333.7063609578,781097.0419499744,685415.0760539193,550108.122367776,783388.019690115,573175.7659836989,671388.9159667443,585595.0795174085,762331.1356976049,488650.4926509335,547054.8012804567,764321.2693625633,805372.8508374243,548608.4430019283
ERR10082717,1213381.9992817596,787377.3821567394,0.0,919197.3066442264,239259.5007141827,922168.8121596826,463479.3421890559,741483.6126968687,704095.0645793506,348834.68967836327,1084127.841516396,917563.3759986282,920694.9475032433,866583.7827042461,903089.1900892182,813817.7807574617,803978.4111852755,888620.0200771982,866325.6865954051,794330.4507117929,899189.4263285128,1224488.9500444664,886815.5611901496,897858.3859835581,800618.456928767,637605.1841978702,270134.383598238,808596.8635358413,825468.5231975839,1153505.5457131534,854335.8242921808,828121.8809462772,828092.588229722,784872.4693190608,894049.7302454713,807631.1287072831,799870.0639041319,845678.3420544717,686483.462360165,831850.7408489819,850489.6301748776,881340.2891908437,888759.8001366849,824142.3160267891,940452.2978572597,836208.0679914539,870306.6982478073,796285.6044717875,756145.6547253313,729398.6671670027,929487.9916233453,834516.1097252707,692561.5321839642,923496.6730015869,789187.9551741778,823940.9112430332,806018.8019692841,744364.6963619379,776920.7639444321,737304.478227957
ERR10083228,1041040.2807667914,537687.0802743916,919197.3066442264,0.0,970513.0239929807,223059.50874150154,998328.896295204,665208.2673043082,380226.5993812111,886491.2855256954,375497.2541351002,1157761.4219138587,1053696.5411502498,896805.6555664666,1147381.040212884,327981.09975881234,1046248.7220493987,203511.73214829655,605258.1181619954,673409.5246757355,342401.67061946413,1388710.810485394,325866.4399428085,1514900.34698623,482905.47968003014,577963.0230282902,1055854.9788981439,832029.803245052,595255.9786243226,1466242.6344282178,793437.7437146534,912399.9538426118,751078.891196524,759330.6971399221,539994.4700216845,600113.0030810864,763835.8366822023,1000771.9169481127,726152.4711629094,635084.3375009338,966387.8922135769,618378.290764642,846917.1156500499,626993.2666352965,517295.5511378384,612474.2052299019,752009.7908371938,882740.5802153881,526688.327850542,596271.9359780401,576154.7846369063,824792.5124520712,623758.8975325322,939365.4238404775,882005.3106858258,721027.0221787808,673529.2899584991,895184.785223699,745691.0633901951,561248.8308219447
ERR10083008,1164366.5100349633,926723.8008069071,239259.5007141827,970513.0239929807,0.0,943298.0305629817,343742.5665698096,877564.0690456737,801785.3192925148,462258.14016521117,1080519.830452454,1097354.8590342142,1080317.9125738868,1015712.275299457,1084671.4033872194,922173.2793878816,991699.8479076216,954220.6865762238,955466.5411865556,910779.3328759717,953054.5812895503,1075256.7712490817,942165.3357266972,1018298.0720992257,869125.1261855223,675500.1425551292,410293.7894436132,969882.6735435581,975352.1765095929,978550.8494283779,969129.4148342625,987351.9488774,897952.0332473222,877371.8194693741,915193.8386156235,880849.1348891704,880164.2033711664,991420.5409744141,827677.6998409466,930000.8930764529,961779.9422211923,906205.0533631999,1005307.9365970409,906281.7512186815,984040.8988995325,919525.1021543675,973739.3003627819,910560.6507976281,821849.5502499226,827438.4008257049,982729.6054113766,962911.0181262856,799404.9546325066,1046129.5095938169,936227.9457525288,935505.9646800762,904224.8544405313,894128.6899356267,867465.577484202,827212.7712753231
ERR10082679,1057218.5331921685,581821.8032215706,922168.8121596826,223059.50874150154,943298.0305629817,0.0,933789.5326785367,698337.6309279058,435937.7273843135,920770.7629334242,279934.70816067094,1192809.844861284,1130249.734273802,936102.8171787541,1203176.6435856374,457320.66312052857,1122854.6018242966,298404.6798728197,578451.4104114537,716567.3307833675,276489.29680007504,1301026.4357056702,432793.78258126584,1550436.712771921,442119.7458596483,629491.2021466226,1078926.9886512246,857826.9645109088,710200.0256660092,1369215.7463938983,798443.4473943661,1020699.5458801772,838268.5963967635,857238.2310717365,603556.9201707491,692489.4503795707,850095.1732365029,1119234.6614825686,808885.733650928,789571.9751099326,1032529.3163155223,691480.1937170724,845590.2482638976,775484.8636201741,670789.1112257264,756587.4530905201,754076.1175909233,989453.4187383456,592644.5953790518,611237.1168286494,726645.8564431507,855157.6383421947,742496.4214896931,939890.5331776674,1002718.2438651448,721733.8755704904,692075.7278347508,1008683.1920439638,843231.4004874344,567602.4162448571
ERR10083238,1258003.3349284094,949016.1787114064,463479.3421890559,998328.896295204,343742.5665698096,933789.5326785367,0.0,976745.3620847145,887801.283822568,730308.5217351636,1065087.8661702047,1202885.3598360901,1249392.5047109895,1109677.221814524,1234295.0378851888,977537.6512150312,1196484.7906939727,978527.6889725707,957254.5571701395,1003975.152804092,935670.2082801397,936435.1037349037,1018887.7866178395,1105176.2691023545,912199.149399406,863127.910900812,629730.6543038856,1032344.2360792257,1054009.814829065,788154.6493341265,1042280.7295239609,1204782.1974705635,1126515.2353905383,1105129.9684485078,1070325.6626111513,1061747.2917851028,1106391.7838514529,1188240.15576566,1012800.7332392685,1098037.5522034755,1179263.6665771569,1086458.5366589008,1062361.7347575165,1073620.9722839806,1124280.2586877525,1092412.3200934709,1035860.5882583815,1113417.2148511985,994894.3217729208,930417.3042173065,1108138.0262936563,1068564.0818607933,987366.0040911881,1096298.1578051657,1147870.319331413,995886.3294422713,996327.6914579861,1110517.8610612259,1101520.7239094505,916945.237336996
ERR10083036,1279692.8359121967,475566.05603428005,741483.6126968687,665208.2673043082,877564.0690456737,698337.6309279058,976745.3620847145,0.0,419356.3810257333,709712.7939927531,893442.4758052417,642075.0594237406,513843.0464529028,323965.7447416316,566876.1443931117,492069.8701698774,539426.7319645922,543163.4935376272,315515.0715433417,208526.87611912284,550300.0242404138,1585545.2846535163,568584.1035933031,1163831.8758330173,357931.249953116,651479.6934717152,798986.3029877295,294279.15427362506,441704.8679106899,1613801.258442625,351082.7088977753,569602.8325210471,665166.4810609446,669412.6571069597,749282.575913787,629125.7388892939,667442.5536119195,713011.7312947944,401928.848243069,679962.4451092869,570619.5290865885,791711.3929867373,387082.3174429439,694197.0979311279,804849.9424656748,690250.4765025519,367425.24183158675,614288.4631726368,544104.3103982912,293747.9973463649,772382.229408471,323323.21922033373,535051.6581462017,489076.2963884061,598500.4053833213,301246.5351369207,314980.0213156384,623920.3535019514,603098.7438454834,320820.1246571044
ERR10083253,1104577.2250014935,410135.1824813375,704095.0645793506,380226.5993812111,801785.3192925148,435937.7273843135,887801.283822568,419356.3810257333,0.0,670976.141939488,628401.8851451672,875723.6814126931,818222.5237763869,641261.0579966633,860036.6096969361,290377.2187448595,745992.8809827879,352628.7347097511,478653.4051586806,438826.527405762,414123.1895825202,1412331.7564071128,326655.3903182986,1261382.2523763366,395205.9987905042,528624.4822603281,817138.7394212809,559646.8527303624,399341.65272983984,1453169.2829942422,613213.814356787,623348.8022471849,561419.3161283284,530295.8174943491,502911.31315272674,423295.9666214645,546038.8285964653,760843.0108892373,426937.6461721313,549472.177950804,746980.3693525018,561082.974519812,665644.6006526306,546015.5897655304,591429.94682887,517344.6237866979,605339.8760118154,672605.7759653868,347093.2483598608,412073.74694343243,627036.420344943,621006.3988559216,434472.1711525377,751229.3087014111,638856.7834601117,549587.6813930604,529176.3177174504,639060.516468511,528769.5317120682,422984.8519178908
ERR10082874,1281090.392183159,757016.6526510497,348834.68967836327,886491.2855256954,462258.14016521117,920770.7629334242,730308.5217351636,709712.7939927531,670976.141939488,0.0,1105561.775847917,836474.4336971693,778437.9411314687,803961.7645640867,802891.8196189322,778317.3729437112,687784.4480758489,862114.8438096864,896916.1236013097,793708.4578502361,897176.6766317546,1470011.2935124002,854475.3740196378,896919.5540805206,796328.5380934178,471390.8877492224,314880.8403078854,801899.3228061737,757051.4566309215,1411660.0936025642,779646.8313396778,677094.2944088364,631410.2782121939,651281.8559748152,814209.8724413749,712318.499469163,686753.7663435127,702316.2366121119,602177.0396212396,713500.3082227786,715189.8727890378,799447.7521351848,832747.7108536535,693509.0995358316,826146.7602756788,708755.5975489718,797315.9571913759,614549.3380876754,637127.7584794121,705995.0222841518,825285.5469841938,749817.1257313346,578433.3487775406,861657.5812676402,634457.3811951438,781167.7180049109,736840.6383791545,584538.6334956826,596938.9836348435,724176.0785955305
