,ERR10082910,ERR10083185,ERR10082717,ERR10083228,ERR10083008,ERR10082679,ERR10083238,ERR10083036,ERR10083253,ERR10082874,ERR10083247,ERR10083101,ERR10083080,ERR10083202,ERR10083000,ERR10083215,ERR10083027,ERR10083186,ERR10082834,ERR10083108,ERR10083006,ERR10082766,ERR10083774,ERR10082806,ERR10082884,ERR10082990,ERR10082872,ERR10083218,ERR10083258,ERR10083252,ERR10083540,ERR10083542,ERR10083541,ERR10083471,ERR10083524,ERR10083523,ERR10083484,ERR10083459,ERR10083457,ERR10083439,ERR10083544,ERR10083494,ERR10083490,ERR10083473,ERR10083498,ERR10083519,ERR10083478,ERR10083419,ERR10083495,ERR10083511,ERR10083493,ERR10083564,ERR10083559,ERR10083500,ERR10083552,ERR10083455,ERR10083510,ERR10083491,ERR10083366,ERR10083530
ERR10082910,0.0,4369352.819574199,3881468.443835271,2895476.120209939,3405768.9971238505,2651854.892620635,3168632.3704360216,4186240.7758103213,3343510.7315772143,4109833.154244099,2102466.283895416,6415043.507647473,5692177.28348011,5314076.766774827,6171098.536830942,3703997.502612144,5344767.0491721155,3277444.8249860746,3883939.561310011,3949173.527182365,3401936.363068833,1696011.334503104,2935336.865016688,7225371.163566547,3291357.157028541,2963127.1179530923,4789611.148667186,5042180.796271292,4797112.248694416,2107180.1470206575,4891188.095027526,4901360.969593955,3590640.3224035124,3524242.6501882644,2218768.563544427,3084179.051996495,3279345.454750231,5597266.981271931,4216038.917380626,3834013.111749489,4335491.295024821,2220950.871848362,5089570.657322679,3816630.0049023614,2947208.6372364275,3570540.6137580904,4742283.810102365,5046019.251493101,3083251.1735875495,3613822.087764698,3518132.0908472156,4938550.907892415,3775704.020299393,5535022.67058013,4961316.934624112,4543430.108338633,4172983.0689376155,5016589.4482376175,3720541.695189694,3461664.9203702547
ERR10083185,4369352.819574199,0.0,2061754.542003,1865801.5852386341,2432996.9119953685,2194484.6688543987,2361090.4227458127,952506.254949541,1156362.4999449784,1800483.1472682548,3257869.6068753274,2589347.052481571,2179373.292384763,1631119.3158837277,2577658.319178863,855015.4387284478,2101287.1261241287,1418174.036015679,905835.2615779538,1326906.7061594797,1356690.7393422422,5019638.039297854,1773826.4675370588,3830415.1127440482,1318838.7802381306,1802533.0824686687,2286231.828293885,1292205.8705183165,1028297.0472071774,4551396.291283478,1278271.1585927298,2004595.1233134335,2092155.212102821,2092685.9613542114,2581396.276717699,1981476.4440277861,2250270.303576439,2658969.188889935,1644853.9657358644,1804788.7266824336,2116460.2451865235,2667885.9888599063,1411262.9404427086,1813387.6472591292,2118164.4663203093,1854459.5023636941,1198279.386793414,2258439.3224242264,1865476.256183927,1384973.3427712608,1781900.2509843248,1541685.6487954995,1703031.6642763868,1708698.851836976,2139988.7726656417,1102935.466338353,1272624.7964026947,2213053.554985057,1938501.2563096264,1420991.5333854035
ERR10082717,3881468.443835271,2061754.542003,0.0,2738585.0324598285,674484.5751527606,2848428.618875151,1003101.1694031664,1557533.7095671478,1574037.6377815749,736450.1701507034,3673943.3628846267,2878653.345743631,2605405.176414985,2290971.096579134,2704030.3149095797,2172488.782584619,1886712.9044459837,2559021.099170345,1995197.3097049824,1572267.129706336,2556042.058287187,4075790.4560026145,2227200.9347036923,3533867.1705306075,2019023.3612665308,1842315.5309615126,1037492.4800826269,1970206.40136002,2267073.9962822124,3374755.3323770007,2218675.0304670576,1771896.2943140888,1580280.4200239272,1336958.2500553261,2254305.0420105085,1608192.0695442446,1353793.5802913234,2488639.7418123824,1316578.7179113142,1889458.3948496988,1696068.6031251801,2235748.6189603247,2355648.7809461323,1851606.7768260085,2349408.1051077526,1741683.3662376753,2293897.4971358245,2196279.081632387,1555983.6667407535,1575246.6025873537,2326014.6610819115,2170262.216705161,1378073.3311112293,2616429.981004078,1959193.5030545094,2024173.7827234596,1979639.5307648815,1834608.4786422416,1458609.4317026748,1696652.9438966003
ERR10083228,2895476.120209939,1865801.5852386341,2738585.0324598285,0.0,2680800.3721817858,637414.9524132612,2410398.8605741165,2169234.017812048,1355875.8188079025,2650380.118503382,1536043.9794084674,4355300.919073675,3713232.261846409,3234653.468960779,4254464.881921462,1175713.680397145,3600955.2880017823,646666.9634982137,1676150.5966156502,2163303.9482657076,791580.1952941976,3805553.4296925855,1114743.777726523,5483386.519959631,1183566.2438794882,1369689.6220950936,3425476.7240991434,2953534.049076631,2471804.4193289243,3599057.099449799,2694386.1086438596,3244024.4781525615,2315817.708588912,2370707.715663827,1596523.01796028,1823982.5042176254,2337747.9355253424,3945486.3496994893,2608545.1973454477,2167388.4264683616,2948074.2962252493,1748176.7437870805,2896778.6649355865,2148076.702698253,1371660.4630931811,2006136.1594677465,2491350.233158919,3367377.19468862,1705564.6246551317,1864197.4713988858,1569223.3721809653,2903213.1355549837,2219004.2226230665,3312858.300241047,3313551.6431014016,2383975.424822999,2153498.7501784163,3391125.263585083,2359797.896294723,1675177.1749041951
ERR10083008,3405768.9971238505,2432996.9119953685,674484.5751527606,2680800.3721817858,0.0,2682524.443880055,620032.8052135629,1916451.2376705545,1687366.1433630816,1107024.8246439644,3399767.414243951,3468667.689837699,3095314.4473696044,2788507.9076082967,3261848.0426560338,2377471.088628629,2447767.3108692337,2595492.778821394,2205062.101234113,1835374.2891922616,2583876.6336592003,3545574.303979681,2170604.051945449,4087407.543649275,2034565.4104616544,1697664.3772680748,1548083.4460296382,2487717.9669779693,2711605.3205313636,2824504.7157701827,2586329.3846091996,2224088.399345898,1514228.1812969933,1321165.4113138143,1875024.039897889,1474501.722834531,1195519.674183156,2936166.3985188236,1650497.6170525057,2068444.1862020353,1901079.8118337905,1857184.3494882246,2746594.343781768,1990790.3770490251,2248379.173650432,1818103.1660453156,2612669.8222050564,2543590.916859274,1386230.9840178152,1664329.493168345,2374273.383991616,2544340.007117563,1560673.1166445457,3060998.812591733,2375843.536961557,2350000.0501544676,2190456.803755783,2272881.692582128,1527162.0383007822,1727814.7315843792
ERR10082679,2651854.892620635,2194484.6688543987,2848428.618875151,637414.9524132612,2682524.443880055,0.0,2368678.417327899,2428296.8379436233,1605882.958718972,2809159.63122746,1123972.0043608737,4660683.92890743,4054384.127424904,3559059.921943715,4563592.057489472,1616059.591020393,3897973.5962971835,1072346.0120781912,1922227.4667528295,2443564.464901632,969527.4521260344,3503248.5187327205,1451018.5301049743,5791212.158830222,1279919.139624453,1405752.4439413222,3623285.7649993603,3245487.6292149075,2913483.3344881176,3323722.0951601835,2966602.1610939004,3560594.32045059,2478096.5930984206,2549464.3545321436,1500330.5414357865,1972121.8957640524,2464128.2526112557,4320930.2041108,2864555.964502352,2593779.8453421216,3168215.968259424,1676541.1175226213,3166377.0460707927,2544062.627016678,1740304.0318412757,2377354.1310145613,2752726.205021306,3715382.2196833263,1787669.794153551,2022610.7805482498,2023049.1146002857,3181801.483044629,2536606.018380663,3599522.2715013167,3669125.8454522924,2647830.5529270563,2388846.5908588604,3735677.9455979606,2577436.068633905,1802784.4687565954
ERR10083238,3168632.3704360216,2361090.4227458127,1003101.1694031664,2410398.8605741165,620032.8052135629,2368678.417327899,0.0,1960893.681320841,1616800.8641966395,1492835.2157894052,3057255.8252010904,3712225.6130939834,3325616.326510321,2960260.401306784,3523649.4677941506,2254314.6894557555,2762506.6130811344,2385288.4667953686,2084215.8903861183,1848503.8066103624,2345219.3919011075,3226740.598227877,2032443.5772018372,4393714.449446163,1860337.41994779,1673476.6691567588,1913886.9440601761,2610246.4601573544,2752004.393277925,2519019.2249002387,2694521.3022034173,2556811.1256258255,1806221.2229870958,1646236.781516863,1788056.4251102367,1573178.085059349,1500919.3721489506,3224656.7151931073,1908381.9145440988,2158988.7255745456,2182807.892102051,1821636.0426251453,2854391.548856078,2096902.212847323,2180112.073742999,1903811.654613712,2683483.084710615,2815440.8240092704,1460693.9458832573,1675373.0167968564,2357363.626923093,2679908.9927525525,1724036.5219112963,3198657.5840435,2666315.133757261,2396873.1094079637,2215768.308253595,2578500.2207314237,1831222.2567995398,1665460.7180942455
ERR10083036,4186240.7758103213,952506.254949541,1557533.7095671478,2169234.017812048,1916451.2376705545,2428296.8379436233,1960893.681320841,0.0,1066613.5272379587,1285163.7746555884,3462763.171281282,2342422.74239536,1725780.913652715,1214249.6572752243,2187379.708412328,1239601.5700901642,1562657.6370590585,1676528.2658502958,700862.8745368099,560429.1599809917,1687257.4007456598,4816348.9796724655,1656866.5986424496,3488570.0856743585,1221516.9794513704,1594810.1730964724,1736902.3211125028,915794.8182120272,1092772.6424114944,4284733.5727917785,905618.9775242124,1413372.4223742303,1535284.3937026781,1511749.6822308248,2334834.82537245,1550089.546064033,1662732.8206143042,2195101.044693387,903221.0826187573,1504966.4304322538,1331181.8691497417,2374435.481489653,1070639.8839745324,1481804.0653210531,2008076.8808703516,1507735.9432125376,905684.3724708956,1703320.9513606061,1489681.3118858677,845357.6069883088,1662455.337830764,1021761.1300201237,1154808.8162037905,1441322.9576243486,1601276.4367169712,709020.7654385025,815177.4153244188,1663724.7419997095,1319053.1872415154,990566.506530985
ERR10083253,3343510.7315772143,1156362.4999449784,1574037.6377815749,1355875.8188079025,1687366.1433630816,1605882.958718972,1616800.8641966395,1066613.5272379587,0.0,1445866.3539366284,2578214.831545075,3230095.7760685673,2669280.2498638094,2173021.578730409,3102468.9813258406,739176.1460808918,2359265.301614043,1086847.8929123431,958169.5723362332,1092544.6427473798,1156581.1353493538,4028071.430296265,912538.0375918584,4268567.315660958,824097.4205050032,986258.3447236328,2175894.602730794,1837952.947427926,1621840.8069949406,3580885.131675966,1794091.3063723932,1999888.6824333498,1339641.3629520403,1259989.2851211077,1504347.4091562096,952951.1757073392,1318042.5743324833,2835499.769603764,1340163.435321976,1422791.6646737147,1906027.002140316,1566595.44494678,2002080.6064911573,1363822.6152828673,1377958.7664872268,1242042.0847266004,1696545.0628105933,2304605.7349431813,883871.3709816604,990396.2246454698,1291313.3184750322,1956682.1858168484,1152588.190489127,2388720.8123893426,2177926.2498776214,1534332.0807413238,1390438.4481831621,2223437.403495992,1248566.5123376488,973659.0474647683
ERR10082874,4109833.154244099,1800483.1472682548,736450.1701507034,2650380.118503382,1107024.8246439644,2809159.63122746,1492835.2157894052,1285163.7746555884,1445866.3539366284,0.0,3730706.2823842084,2552363.9783886625,2185400.0642584874,1901511.6484807555,2383156.235830752,1973795.3590529591,1558712.9169766959,2388454.0933059608,1811159.8220634754,1416482.81487987,2390327.732881414,4516799.539498183,2113016.706238737,3350610.004853892,1875659.9676532524,1625462.7690996185,979985.1367959618,1671161.966190291,1936701.5488794344,3855861.582477514,1747381.6866154342,1373799.3518585602,1174865.561379684,1078812.3525850081,2221542.2288313587,1455448.4215237584,1205378.7431546154,2178485.391071742,969287.0412318531,1631555.3911623717,1317821.2759467803,2213386.1046527782,1906173.7091068064,1552907.4811961593,2157460.624925748,1504985.309812026,1827972.4292015457,1776498.3217422413,1349123.242738409,1317353.926337945,2026339.0754271606,1731413.9283802125,1122598.3029770711,2164752.781292127,1590898.11536,1625808.9063484676,1607067.3043765156,1500038.0602661388,1061961.741220935,1489572.5171914257
