k1,k2,k3,k4,k5,k6,k7
-0.006227994743683578,-0.04889769372331173,-0.06972844995000509,-0.062246829703922035,0.020342226399046304,0.004285515065129181,-0.0007924636793553556
-0.09187793874484869,-0.08061984791464513,-0.07933426777884034,-0.06157176110628271,0.01696503601400734,0.003298366237982908,-0.0003526470795139347
-0.08611287282389851,-0.08015305881079826,-0.08055138541228601,-0.06264177758051837,0.01668230514108404,0.0035281993234155193,-0.0006498998380420895
-0.043846144494719574,-0.061806226052932955,-0.07392029031803088,-0.06349871148656083,0.018126324511181457,0.004274767008060509,-0.0005047137981811778
-0.07329094656135993,-0.07312000549389082,-0.07780353478244531,-0.06208417368464392,0.01853266123253189,0.003477520205698359,-0.00045233629079771687
-0.07692904221262747,-0.07602407411936435,-0.07943490137146349,-0.06283931953351532,0.017651441552440153,0.003453537135535298,-0.00046365605626051687
-0.06919489201815662,-0.07257592459354309,-0.07832515256832352,-0.06294504676527193,0.01824367719792367,0.00366836577202646,-0.0005998867410053656
-0.05973748472391269,-0.07079000464631467,-0.07659244316721767,-0.06344481584807854,0.019059077484309035,0.003935615348780297,-0.0005496908054616707
-0.06278686417447998,-0.06927194910328084,-0.07685569846838874,-0.06418772173998606,0.019008201513643075,0.0033346394011990444,-0.000699874906866277
-0.08293620154817118,-0.07559854830928191,-0.07781351030600901,-0.06257333164334686,0.01726349183747605,0.0031717307128973572,-0.000662600458106361
-0.10067444835785903,-0.08029123671150626,-0.0791406762369815,-0.06220284140920609,0.018181537360682478,0.0036756608452240547,-0.0004515481017748006
-0.1197262812705611,-0.08543357082908959,-0.07836898077896501,-0.0605593752642767,0.01657602937821815,0.0028840532787976383,-0.0005755507019812544
-0.10920799084966079,-0.08593515484890632,-0.07877100520758434,-0.06081043179325426,0.016487293498287845,0.0035791622424172754,-0.0011441429055291982
-0.09907233964805325,-0.08178041058748306,-0.07868456999367365,-0.06177205277567173,0.016941388107406766,0.0030631252156045263,-0.00024509652063478917
-0.08767491113495719,-0.07835362894841265,-0.07913058771283688,-0.06287752066823092,0.018563637727591717,0.0026492144777464427,-0.000702826829543246
-0.0921728666246164,-0.07985838411703992,-0.0775153808946273,-0.06245035011220797,0.017358663723366554,0.0039401338002286665,-0.0005484714418062628
-0.1048366014755469,-0.08343243978679249,-0.07953873748911645,-0.0635399557017888,0.018004032596052398,0.004052739117216312,-0.0003578563133732853
-0.09901236681617032,-0.08187094551786168,-0.07930665623623548,-0.06289904822901723,0.01821325341363477,0.003414393496868162,-0.000773526418677113
-0.08972509721462255,-0.07752164173316117,-0.07854748787653629,-0.06264198893775526,0.0177266791237578,0.0027863826072594454,-0.0007004187658541879
-0.08327192777901782,-0.07754983210614104,-0.07889685904946898,-0.06332825952300043,0.01816496359673228,0.0030807669779240065,-0.00034982007986967764
-0.09192873912401524,-0.07602687395288361,-0.07901580827287083,-0.06391099389620754,0.01783655478581171,0.003944413422355083,-0.0010285176384093612
-0.08986312394829163,-0.07787065422768505,-0.07915110004389483,-0.06372148107011344,0.018974696377997494,0.0042669809166555675,-0.0008428310279523128
-0.0880219423081879,-0.07601443659424698,-0.07828351813021323,-0.06425693532423762,0.0187589185393994,0.00437495508290562,-0.0009291881364177348
-0.08287450362359569,-0.07584707587231955,-0.07720377373244147,-0.06342710096969476,0.019455006299238634,0.0037485732363470733,-0.0006599194671941511
-0.08681659559471346,-0.0780771618016415,-0.07916080549892522,-0.0634725950609039,0.019090658803541768,0.0035789434013765533,-0.0011809266281055497
-0.09886237730859494,-0.08332976574634829,-0.0800282265962958,-0.06291131506867509,0.018675503929411107,0.0038236979402392723,-0.0008799481285068169
-0.10685227684549999,-0.08305805386348233,-0.0809283599318536,-0.06446099374472895,0.018967067484408094,0.0035704222262901114,-0.0006118337576663541
-0.10162386440035737,-0.08361219113443595,-0.08049100608595071,-0.06483058944172576,0.02022969505852812,0.00380058799897465,-0.0003220837078604597
-0.09546960287812567,-0.07986503348344619,-0.07992976769413371,-0.06525471285776037,0.018699104458262335,0.003833398665957712,-0.0005655059144702483
-0.08623083868724542,-0.07936708451923459,-0.07946871925345467,-0.06476376669105072,0.019835282957767257,0.003910436246406691,-0.0007954181533842
-0.08636095372296214,-0.07508534785856212,-0.07913933473188042,-0.065864308245193,0.01979145087689423,0.005024677076800611,-0.0008160336999472478
-0.08561483895736566,-0.07843611321827008,-0.07974824053963041,-0.06568454729118539,0.019583557031247683,0.0036096911525166325,-0.0009858192045042126
-0.09300870617967319,-0.07854064786065683,-0.08148070052966878,-0.06632778774731958,0.01980477635545119,0.004041213763771902,-0.000836067079821089
-0.08951900910100385,-0.0780640075642442,-0.0795356154521124,-0.06633265568427564,0.02009886916608857,0.00411632896568447,-0.0008183422235450754
-0.08294431132281437,-0.07515974871092743,-0.07949411310872907,-0.06605634475680038,0.020457612344347845,0.004410407122136988,-0.001207243725277675
-0.06683220433509524,-0.06967241271170611,-0.0794581459819642,-0.06786641808469339,0.02123447060913913,0.005051473180821446,-0.0006719207064165418
-0.05461565321149482,-0.0678378709128098,-0.07779687728714361,-0.06840106393646633,0.022323625453675208,0.005702098271775641,-0.001546172374398879
