,ERR10082910,ERR10083185,ERR10082717,ERR10083228,ERR10083008,ERR10082679,ERR10083238,ERR10083036,ERR10083253,ERR10082874,ERR10083247,ERR10083101,ERR10083080,ERR10083202,ERR10083000,ERR10083215,ERR10083027,ERR10083186,ERR10082834,ERR10083108,ERR10083006,ERR10082766,ERR10083774,ERR10082806,ERR10082884,ERR10082990,ERR10082872,ERR10083218,ERR10083258,ERR10083252,ERR10083540,ERR10083542,ERR10083541,ERR10083471,ERR10083524,ERR10083523,ERR10083484,ERR10083459,ERR10083457,ERR10083439,ERR10083544,ERR10083494,ERR10083490,ERR10083473,ERR10083498,ERR10083519,ERR10083478,ERR10083419,ERR10083495,ERR10083511,ERR10083493,ERR10083564,ERR10083559,ERR10083500,ERR10083552,ERR10083455,ERR10083510,ERR10083491,ERR10083366,ERR10083530
ERR10082910,0.0,3734622.010712463,3262968.267480853,2605532.508466168,2928606.8417081865,2526341.616859842,2961977.094577708,3428158.1197867757,2889388.565207698,3376552.562516686,2121803.917954249,5123232.983845943,4394064.5967162335,4198275.889390786,4836424.020777024,3086422.236009519,4232509.166234257,2789058.0921144327,3239796.131218136,3150864.0047953515,2980780.146884201,2006726.2576136289,2415981.037716977,5606530.0182808265,2815331.98913645,2515074.2927295407,3825203.888053028,4083173.9172886084,3798282.781857744,2590074.79972085,3898055.784173567,3811465.380349532,2906176.2216613777,2824978.9231806668,2009445.3789028453,2545299.591937853,2660761.0134858033,4126008.392897547,3279957.2873837855,2928344.580057989,3350226.800962735,1933167.0135213356,4044369.5198776037,2940200.2095791027,2405478.963795568,2815158.8643767512,3800915.3174453913,3712233.343956304,2628434.34164428,2942746.8222614736,2755011.000200181,3870736.3249923135,2927697.902404379,4387325.1433632085,3711251.8137660776,3658407.9631167436,3337315.1873840145,3793254.8751784395,2939578.3613118734,2838650.293593771
ERR10083185,3734622.010712463,0.0,1851165.8661008743,1519670.1010666755,2162680.2366263024,1685380.4421221933,2198376.1663339147,1054754.5924356054,1008993.237680511,1580284.389671049,2438058.5836648797,1994516.4764636566,1873420.5218965122,1368811.0556340492,2046077.4570052328,879416.6910412833,1915284.822800254,1250057.8822034602,1022642.8789924663,1380907.647344673,1147404.760050698,4204786.7853685515,1662991.7401472565,2927835.662042185,1219601.541716392,1510858.0848004885,1952299.6878942535,1115290.023247765,834044.656438131,3987143.1746807136,1094357.583618353,1802144.5638397047,1878896.604601754,1929396.1479501817,2204819.7182291346,1827785.4721041527,2063477.749089144,2008064.975801082,1490738.6469009249,1660350.7957582336,2006504.104295578,2301512.224103752,1170064.684224338,1687819.9311872697,1971972.8369992827,1716205.283808729,1046694.7150296499,1786433.3837322341,1623244.7552957009,1279437.919432592,1854901.403854124,1284000.1364131547,1544861.5126330904,1315229.3013809416,1771839.283511346,1009804.1631910615,1183942.7953663978,1779557.795156145,1801929.3755214158,1301628.61723381
ERR10082717,3262968.267480853,1851165.8661008743,0.0,2364775.920306827,585612.0421328441,2387433.8903544536,1034738.8666866631,1553101.442322748,1569398.3201819735,683376.7186427995,2920934.202621312,2318780.899001887,2214627.5156373363,1981000.9042832362,2223460.3355459254,1934743.2907957067,1822493.0701777716,2237510.4722753814,1846444.4212261033,1639015.5897641731,2208375.2849803404,3283985.392430819,2169087.6233017882,2535763.358359963,1822162.3768577815,1585779.495249576,704443.4295406551,1745621.7184851363,1973250.108484477,2901618.914540984,1942034.6910155853,1822084.5498005848,1801876.6725009235,1664687.087562104,2183977.6360034,1785943.8135456557,1703648.0251739207,1998735.016213505,1439877.037813646,1880183.420308242,1825017.268132551,2139756.239865186,2018926.575548997,1886172.649403018,2298269.512124285,1857564.0264556159,1998052.916145616,1847745.838552478,1703079.8692486503,1576649.0972790997,2265346.9540322074,1909474.8015561765,1512984.1198928691,2164698.5817263336,1781482.2181787277,1826781.2159399386,1837177.9727329086,1638646.2449796784,1677772.3573542389,1634016.2256449598
ERR10083228,2605532.508466168,1519670.1010666755,2364775.920306827,0.0,2360872.4371888456,515789.0412814138,2308570.5027724407,1797428.3907293775,1062900.5253903114,2190896.8283413076,1072869.3074079433,3381469.2946615675,2886616.831591093,2493370.2907891558,3286394.953431952,906626.6740086572,2913197.59785858,504499.04555806646,1440406.4584866315,1766688.2462180473,717112.7389894841,3368173.728849805,852460.8394219643,4194018.875011652,1120944.853575322,1172644.7270017462,2767185.9229375967,2332350.451882821,1769193.7845993582,3398093.3336524176,2067018.5113658272,2506270.1191050815,1806173.5044596354,1906761.5849604795,1304903.038653064,1486522.9209988657,1922004.6429579717,2802705.9581845184,1998030.5591456804,1580833.5573781952,2412369.4038138106,1474431.95572634,2220785.875761326,1570270.745945106,1129198.2556243169,1495749.8256229216,1914430.7011111684,2377113.7483080192,1322767.8590572875,1510908.509353892,1334983.3788141333,2206698.776061427,1655807.093553171,2514209.590447662,2421882.983617499,1857012.0901415802,1682292.8342081232,2480800.271807265,1862804.9993171587,1395421.1387563255
ERR10083008,2928606.8417081865,2162680.2366263024,585612.0421328441,2360872.4371888456,0.0,2307331.525455326,662301.617237192,1878607.0227043228,1718653.5347500963,1054780.2099916362,2751013.859358037,2828309.9761802983,2646787.6547840023,2392334.123791658,2723443.027757144,2113481.8152702427,2318061.288422073,2289024.397945334,2022368.7978917197,1878724.6899120158,2253823.599670347,2793033.54004781,2170717.2442430174,2965292.036402148,1902788.1771471568,1584562.3581932646,1148703.7598415005,2179441.8357038116,2324098.4086417253,2388077.918923292,2260208.348909675,2219085.324560324,1912927.6854423953,1801790.811820007,2068342.312876667,1838210.4774151952,1790634.8039161977,2375917.5975603615,1753402.2703874887,2031192.6244280722,2078674.8588235246,2021542.8861048187,2348586.9741512663,2005120.5647982867,2272080.445325605,1964727.088699344,2277008.64160701,2142055.702785761,1754846.020288105,1738582.8036093076,2298803.009491679,2250022.3277965486,1700810.919252049,2532883.627411058,2139008.819361435,2110807.169334992,2054953.9954582925,2022594.197883253,1844026.7248483684,1759009.2399859643
ERR10082679,2526341.616859842,1685380.4421221933,2387433.8903544536,515789.0412814138,2307331.525455326,0.0,2184709.15598324,1954407.8719709455,1226344.6232968122,2280682.7476122146,799913.615306053,3544263.211918522,3124469.1339584393,2686906.4354256922,3480940.390387201,1235229.7789852705,3119189.4984038724,800669.4782249414,1523636.51166543,1946450.633658352,722116.3996399749,3127632.9580790005,1126419.6068100021,4341540.192818673,1132102.302457247,1262369.8067123597,2851207.868722307,2488410.483704005,2075069.8727813961,3153537.8460486247,2207126.1080067446,2763136.9174601175,2008444.3296964942,2106669.7492827396,1382129.6735603358,1672258.8893514664,2092610.633720951,3086971.317874366,2203895.2453272366,1930890.6047451263,2600252.376592511,1560525.6154760804,2351142.4721107394,1909527.2597742616,1466337.2704869094,1819250.5047917399,2051877.4008982603,2652434.8859904176,1463349.2753266392,1612617.5305397124,1705411.8625997652,2377241.742911099,1921718.0241640552,2647784.735688874,2705361.227115891,1987273.5591739754,1827505.0413555636,2746559.5888614906,2085402.4941830772,1473465.4337099327
ERR10083238,2961977.094577708,2198376.1663339147,1034738.8666866631,2308570.5027724407,662301.617237192,2184709.15598324,0.0,2094107.2104161717,1844125.429650055,1531152.0444348431,2612789.989344915,3081934.575521356,2977449.7757403064,2628744.781181125,3044122.6898273993,2183170.4462952497,2741154.2412119024,2261867.0255773216,2043578.0417358668,2079810.2453690337,2167029.012737485,2533777.363977546,2241557.526620051,3190058.95490773,1954996.5021037762,1805007.4109183042,1551413.430844596,2376047.3275911403,2464446.019333757,2053980.9087160474,2435387.025713983,2648396.5428303974,2307344.3627055325,2226345.706807458,2256135.9819529937,2135155.3708636756,2213169.57219979,2730137.841079091,2131072.8659909777,2280845.5222482737,2498268.4187576803,2257254.6915724864,2505118.094158836,2250466.12386812,2417267.772799282,2216412.2609893675,2422408.2722555255,2488745.448681323,2027803.8854751217,1943731.1686478148,2455940.930903469,2473691.3155028056,2015306.399892086,2681190.128959526,2529681.8665794716,2253318.3877546024,2222702.1617083563,2417517.4865245544,2260099.183308998,1921602.0886393208
ERR10083036,3428158.1197867757,1054754.5924356054,1553101.442322748,1797428.3907293775,1878607.0227043228,1954407.8719709455,2094107.2104161717,0.0,1001701.2750051784,1296006.8210090562,2604495.260856506,1848860.482840985,1274912.9068846232,880369.1290191859,1621616.2578936485,1160772.1988073285,1324243.0166094892,1453527.5154192988,705919.4749233088,515295.8348007482,1470933.6695755522,4035337.416131642,1517916.2968708123,2816560.8432721635,980952.2022132373,1321846.8492911726,1658104.7172081743,743226.9704901726,989228.3211802016,3863296.9939494687,742032.7017274912,1227866.5545616103,1399231.1689402864,1434903.7917355297,1942534.3484669712,1442379.3308824832,1499998.1933875787,1613453.679805838,829102.513116442,1414680.1711090037,1186450.5602843298,1985648.8592324173,864490.3939680301,1472537.0162162308,1880088.017754222,1460601.318366172,768019.7908953909,1288255.6048816554,1291460.7097171017,714199.387191,1765197.3413377893,734916.7692378504,1092726.8491105177,1139344.207170511,1268647.2294605777,649273.1751243077,694304.9171653618,1312632.686288514,1238351.6419139598,812700.5579486211
ERR10083253,2889388.565207698,1008993.237680511,1569398.3201819735,1062900.5253903114,1718653.5347500963,1226344.6232968122,1844125.429650055,1001701.2750051784,0.0,1345540.4092159402,1864579.732530363,2518866.622339103,2115806.959531989,1696532.6847311254,2406321.5709597087,657623.3004729988,1990561.2438958012,917934.5731205465,972692.0497140911,1026012.5853107261,989659.3198156626,3494684.0348416334,887769.299421308,3306358.898351327,836057.993313861,889221.6532530008,1895044.1173083545,1480815.1646316296,1133429.0657222446,3371619.4259379273,1433257.8167371005,1599107.194132401,1155269.2613737285,1161773.987456252,1270521.0213502962,927220.351733071,1236116.6657403337,1992836.4086532542,1071793.5458328717,1167479.2344303173,1698181.8169330398,1358679.5550386412,1590253.514749142,1169028.794051712,1310974.621026662,1069755.8729747643,1371542.0349519004,1630003.949581718,753235.3057099753,905237.8121162417,1385445.3889053152,1525101.3613809412,945046.0664623709,1855245.92837823,1605105.63522,1261868.4151277423,1172521.3203157545,1616944.3244886324,1119429.622977702,917490.5071514364
ERR10082874,3376552.562516686,1580284.389671049,683376.7186427995,2190896.8283413076,1054780.2099916362,2280682.7476122146,1531152.0444348431,1296006.8210090562,1345540.4092159402,0.0,2875700.9942221045,2044396.3600601035,1850700.5686023333,1660090.8752456896,1934099.2057211027,1668921.274702315,1482218.269689387,2036871.4712875234,1705676.8969555753,1475646.4528405848,2038099.0105711254,3689791.3608839726,1991269.3268079031,2487412.407565742,1658359.3897527158,1305134.4997275185,782057.8261036712,1493073.4652474406,1640849.5760522962,3370258.6309716646,1591267.036148553,1403144.455585739,1393920.8885435357,1326582.3724439428,2012032.685089385,1528682.8621074418,1427849.0153367056,1660526.5575765418,1088071.3156884525,1565498.5265528038,1485694.1435298854,1976204.092706267,1697843.7626910787,1558687.751924355,2030941.1498989821,1552244.9677660419,1652412.402767239,1458417.9593830432,1405301.2936068194,1330662.5235024844,1961297.9255630695,1566385.5858067004,1207204.313754304,1854078.1930304342,1383667.4126704005,1526740.247672799,1536720.6134011478,1259906.7884494471,1281447.796688964,1426134.355349453
