k1,k2,k3,k4,k5,k6,k7
0.36272381945850823,0.3127206853860238,0.24603621234737155,0.1894214849406706,0.24149347895501241,0.5541672474831033,0.5604385694281281
0.3616331846606554,0.3166938114403788,0.2510045349227797,0.1970593903212126,0.24834870318333974,0.5717234823329933,0.5832825659633585
0.36022756388149907,0.3150367959436824,0.24798261571406902,0.19431642528107215,0.24302861547313004,0.5499497803866616,0.5650931322013995
0.3011426160389542,0.26139925860281865,0.20257971845154663,0.14119307983554408,0.134429011861158,0.17633743516061895,0.14553011777557653
0.25476516892327616,0.22267211652741692,0.1717732107772249,0.11414495830370358,0.0908937306708773,0.08080485706642636,0.06193554231617163
-0.10931536436147421,-0.10298688396466578,-0.08190886612214225,-0.063992440758009,-0.03952452373100277,-0.004104032682999413,-0.0032931474629222246
-0.05335834068785623,-0.03965405122409007,-0.030151058002583064,-0.013606503873544583,-0.008664717267784809,-0.0013133788434776402,-0.0009449716479693789
-0.10141195705837701,-0.09224030210352031,-0.07468342870546996,-0.05182283263945621,-0.034635812360196735,-0.008844726618366777,-0.0005082548927028007
-0.10205791869866473,-0.10061379342387299,-0.08198515817554143,-0.0594415167792115,-0.03451798685499742,-0.005882222968096314,-0.0025492214531406014
-0.10260311517406565,-0.10822780984897144,-0.08939491497407565,-0.06804175925544569,-0.04410573263504938,-0.006369540602280079,-0.0026844811539929146
-0.10924985913129068,-0.1041931410252531,-0.08007311351505544,-0.06298892592356005,-0.04222499643678112,-0.0066403798085909495,-0.0027011513147848993
-0.09982579381409923,-0.09826960447241015,-0.08514046820543694,-0.066383929240319,-0.039970874609567095,-0.00815249421618735,-0.00267784479460754
-0.11232195388277373,-0.10367106266007743,-0.09257556508340788,-0.07060171408897839,-0.04547659205905665,-0.007752669337041041,-0.0010367518775947276
-0.12042475922905749,-0.11229951977096705,-0.09600208067635177,-0.07326917632177793,-0.046165038386520675,-0.008546564700099351,-0.00031595250664195624
-0.10556583290291152,-0.09821625349462167,-0.07643404588095758,-0.05888245392193825,-0.04549940412030414,-0.00812633662307576,-0.002673919098513264
-0.09365990685817226,-0.08781272992408734,-0.05510798693941162,-0.04739858195071157,-0.025453861756480907,-0.003062363248321924,-0.0012340872358161943
-0.1193794820471965,-0.11335866783669625,-0.09011211935158825,-0.06940429370761916,-0.05155211780612182,-0.009866501115246609,-0.002741600736119782
-0.0866325058797282,-0.07606535413630625,-0.05928938647370795,-0.04858576991214609,-0.04421056047478431,-0.000948718728204929,-0.000369339175561407
-0.10590987930194362,-0.10482033468010728,-0.08471483683703636,-0.06993120661545017,-0.05301285169759296,-0.005360582000988767,-0.0012393845515856652
-0.11567431355367197,-0.11077579359414332,-0.0881891859394959,-0.07779634252169966,-0.05208327449429052,-0.008919388880381782,-0.0017783357973703332
-0.110027833351527,-0.1071549367287041,-0.08444684919158835,-0.07777783112623513,-0.05069592921623637,-0.008829613806217064,-0.0019091241596999194
-0.09026523611773261,-0.08345023752923333,-0.06535507756388415,-0.05173022704484148,-0.03433649107535041,-0.00348241164908388,-0.0003566509935471235
-0.08361934814362958,-0.08350457483328849,-0.06025987287727479,-0.05480531179112539,-0.02902876244471043,-0.005200986242080581,-0.001963463113201101
-0.06887603915538244,-0.053159788255930325,-0.036043795456833255,-0.027298985812272546,-0.007537117375108895,-0.001102215657812029,8.509903044122305e-05
-0.07025507849494057,-0.0643821601582564,-0.0457735250594737,-0.0343352026698905,-0.012649969035952266,-0.0016759130526966624,-0.0017670837487254103
-0.11333293356659822,-0.10529800234509862,-0.08486103221659277,-0.0641417748918544,-0.03383480537966165,-0.006379721498012619,-0.0025051632083628083
-0.10362164166501639,-0.09197691178729911,-0.07455375211748222,-0.049231402722118865,-0.03747944984637146,-0.005582058822777854,-0.0011352754692047291
-0.09198182552638424,-0.09328918004328482,-0.06627406778901346,-0.04520104710684804,-0.03040850882277657,-0.005142198126941357,-0.0010943412217764522
-0.11450732176472886,-0.11603442880619866,-0.0883559089661386,-0.05588148406242626,-0.03410540543955996,-0.008986599019705575,-0.002723637811990844
-0.10478352616062629,-0.10168255266641965,-0.07177561033482602,-0.05241907854027543,-0.033916142394736816,-0.008013536999520558,-0.0001454123785930607
-0.10394904212319313,-0.08644454437918717,-0.06393336962611956,-0.04380399079911392,-0.02603565632667927,-0.0066408911946040875,-0.002485736473844786
-0.11032049402767358,-0.09523553639112807,-0.07140724831732903,-0.05100955126227151,-0.03031221276554971,-0.007790185084195492,-0.0024369042320493066
-0.11540712908888708,-0.10837947207858073,-0.08494873853038903,-0.05440730699445845,-0.03947414179504213,-0.00964849073505609,-0.003109443990918176
-0.07226305236577035,-0.07067498321423436,-0.04925857326262492,-0.01922225644043748,-0.004561244105380977,-0.001879636985785345,0.00023363967471504458
